mode,target_amp,target_per,amp,per,loss,time_s
surrogate,45.0,1500.0,49.17840576171875,1457.113525390625,4.517274282989092e-05,7.828381776809692
surrogate+amp,45.0,1500.0,46.269691467285156,1457.113525390625,1.0864569958357606e-05,58.419047832489014
surrogate+ampper,45.0,1500.0,45.85914993286133,1478.776123046875,3.7968500237184344e-06,57.83973550796509
solver-only,45.0,1500.0,45.667694091796875,3400.755126953125,0.00022605140111409128,164.69833517074585
surrogate,35.0,1000.0,37.09721374511719,1220.470458984375,0.00039356431807391346,6.508657455444336
surrogate+amp,35.0,1000.0,34.142147064208984,1220.470458984375,0.00029861999792046845,55.04048490524292
surrogate+ampper,35.0,1000.0,34.555545806884766,1245.72900390625,0.0002691777772270143,55.02615976333618
solver-only,35.0,1000.0,35.59978103637695,4688.46923828125,0.0004345947818364948,160.88292384147644
surrogate,60.0,2500.0,60.11250305175781,3275.506591796875,4.452757366379956e-06,6.503390789031982
surrogate+amp,60.0,2500.0,59.965782165527344,3275.506591796875,4.245704985805787e-06,54.52004814147949
surrogate+ampper,60.0,2500.0,59.96887969970703,3283.20458984375,4.208339760225499e-06,54.50068688392639
solver-only,60.0,2500.0,57.69390869140625,4047.3017578125,1.155507197836414e-05,161.6428349018097
