mode,target_amp,target_per,amp,per,loss,time_s
surrogate+adam,45.0,1500.0,46.59307098388672,1630.5655517578125,0.00012732442701235414,55.32631278038025
solver-only-adam,45.0,1500.0,46.77356719970703,3213.610595703125,0.00020452165335882455,163.12424230575562
surrogate+lbfgs,45.0,1500.0,49.173274993896484,1443.2430419921875,4.6357941755559295e-05,53.00026345252991
solver-only-lbfgs,45.0,1500.0,79.99995422363281,2355.12646484375,0.001399540458805859,307.84242725372314
surrogate+adam,35.0,1000.0,34.17268753051758,1199.1990966796875,0.00029913370963186026,53.453566551208496
solver-only-adam,35.0,1000.0,37.11009979248047,1053.4140625,0.00023454739130102098,159.72542142868042
surrogate+lbfgs,35.0,1000.0,37.09853744506836,1214.1002197265625,0.0003959233872592449,102.85050082206726
solver-only-lbfgs,35.0,1000.0,30.005126953125,2077.27587890625,0.0007279625278897583,316.4129388332367
surrogate+adam,60.0,2500.0,59.96228790283203,3291.332275390625,4.166248800174799e-06,54.13494658470154
solver-only-adam,60.0,2500.0,60.274044036865234,2742.68310546875,1.681239723438921e-06,163.3924970626831
surrogate+lbfgs,60.0,2500.0,60.086700439453125,3327.3720703125,4.238631845510099e-06,52.89490604400635
solver-only-lbfgs,60.0,2500.0,59.420509338378906,2873.89892578125,3.0410785711865174e-06,263.9789226055145
